team,confederation,pot
Algeria,CAF,3
Argentina,CONMEBOL,1
Australia,AFC,3
Austria,UEFA,2
Belgium,UEFA,2
Bosnia & Herzegovina,UEFA,2
Brazil,CONMEBOL,1
Canada,CONCACAF,4
Cape Verde,CAF,2
Colombia,CONMEBOL,2
Croatia,UEFA,1
Curaçao,CONCACAF,4
Czech Republic,UEFA,3
DR Congo,CAF,4
Ecuador,CONMEBOL,2
Egypt,CAF,3
England,UEFA,1
France,UEFA,1
Germany,UEFA,1
Ghana,CAF,3
Haiti,CONCACAF,4
Iran,AFC,4
Iraq,AFC,4
Ivory Coast,CAF,2
Japan,AFC,2
Jordan,AFC,4
Mexico,CONCACAF,3
Morocco,CAF,2
Netherlands,UEFA,1
New Zealand,OFC,4
Norway,UEFA,1
Panama,CONCACAF,4
Paraguay,CONMEBOL,3
Portugal,UEFA,1
Qatar,AFC,4
Saudi Arabia,AFC,4
Scotland,UEFA,3
Senegal,CAF,2
South Africa,CAF,3
South Korea,AFC,4
Spain,UEFA,1
Sweden,UEFA,1
Switzerland,UEFA,3
Tunisia,CAF,3
Turkey,UEFA,2
USA,CONCACAF,3
Uruguay,CONMEBOL,1
Uzbekistan,AFC,2
